reg_num_biz	com_id	com_name	chi_sht	sh_name	hld_shr_rat	ctrl_com_name
	473968	宏源证券股份有限公司	宏源证券	中央汇金投资有限责任公司	100.0	中国建银投资有限责任公司
	530787	青海盐湖工业集团股份有限公司	青海盐湖工业集团	青海省国有资产监督管理委员会	100.0	青海省国有资产投资管理有限公司
	498564	广州白云山制药股份有限公司	白云山制药	广州市国有资产监督管理委员会	100.0	广州医药集团有限公司
	421675	江苏新城地产股份有限公司	新城地产	王振华	100.0	优域集团有限公司
	475107	吉林中核辐照技术股份有限公司	中核辐照	王玉江	70.2	吉林中核辐照技术股份有限公司
	476457	中国北车股份有限公司	中国北车	国务院国有资产监督管理委员会	100.0	中国北方机车车辆工业集团公司
	450387	上海阳晨投资股份有限公司	上海阳晨投资	上海市国有资产监督管理委员会	100.0	上海国际集团有限公司
	468172	河北太行水泥股份有限公司	河北太行水泥	北京金隅股份有限公司	100.0	河北太行华信建材有限责任公司
	503740	招商局地产控股股份有限公司	招商地产	招商局集团有限公司	100.0	招商局蛇口工业区有限公司
	513525	莱芜钢铁股份有限公司	莱芜钢铁	山东省国有资产监督管理委员会	100.0	山东钢铁集团有限公司
	547694	上海东方明珠(集团)股份有限公司	东方明珠	上海文化广播影视集团	100.0	上海广播电影电视发展有限公司
	513391	上海百联集团股份有限公司(注销)	上海百联集团	上海市国有资产监督管理委员会	100.0	百联集团有限公司
	508740	湖南胜景山河生物科技股份有限公司	湖南胜景山河生物科技	姚胜	27.29	湖南胜景山河生物科技股份有限公司
	517622	重庆东田药业股份有限公司	东田药业	田秀东	66.8263	重庆东田药业股份有限公司
	537571	广东美的电器股份有限公司	美的电器	何享健	90.0	佛山市顺德区天拓投资有限公司
	525941	浙江东南发电股份有限公司	东南发电	浙江省国有资产监督管理委员会	100.0	浙江省能源集团有限公司
1000001002901	392834	中国石化齐鲁股份有限公司	齐鲁石化	国务院资产管理委员会	100.0	中国石油化工集团公司
1000001003135	515762	路桥集团国际建设股份有限公司	路桥建设	国务院国有资产管理委员会	100.0	中国交通建设集团有限公司
110102005782857	477954	北京时代亿信科技股份有限公司	华协农业	章勇	55.75	北京时代亿信科技股份有限公司
110105011578175	525405	和创(北京)科技股份有限公司	和创科技	刘学臣	18.1005	和创(北京)科技股份有限公司
110105013003868	471225	北京易观亚太科技股份有限公司	易观亚太	于扬	10.49	北京易观亚太科技股份有限公司
